season,passer_id,player_name,team,games,dropbacks,epa_per_db,total_epa,any_a,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,team_wins,pts_per_drive,total_plays,epa_per_play,pass_att,sacks,scrambles,designed_runs,late_epa,late_tds,late_plays,late_epa_per_play,pct_team_yards,pct_team_tds,wpa_total,close_epa,close_epa_per_play,wins_vs_top10,wins_vs_top10_x,wins_vs_top10_y,success_rate,negative_play_rate,cpoe,win_pct,offensive_allpros_nqb
2022,00-0036355,J.Herbert,LAC,17,,,25.77,6.227,4739,143,22,4904,25,0,0,0,25,10,6,16,10,16.292,773.0,0.0333,698.0,38.0,22.0,15.0,14.49,5.0,206.0,0.0703,79.3,59.5,1.199,,,0.0,,,0.4644,0.0699,1.316,0.5882,0.0
2022,00-0036389,J.Hurts,PHI,15,,,106.87,7.295,3701,321,460,4482,22,2,11,0,35,6,8,14,14,19.08,645.0,0.1657,461.0,38.0,43.0,103.0,14.94,6.0,139.0,0.1075,68.2,58.3,3.309,,,0.0,,,0.4946,0.0899,2.7173,0.8235,0.0
2022,00-0035264,J.Stidham,LV,3,,,-0.31,6.156,656,79,5,740,4,0,0,0,4,3,1,4,6,15.192,104.0,-0.0029,83.0,7.0,11.0,3.0,1.59,4.0,90.0,0.0176,12.2,9.3,-0.184,,,0.0,,,0.5,0.1058,1.5499,0.3529,1.0
2022,00-0031503,J.Winston,NO,3,,,-15.52,5.112,858,11,5,874,4,0,0,0,4,5,2,7,7,12.692,130.0,-0.1194,114.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,14.8,10.0,0.002,,,0.0,,,0.4615,0.1385,2.746,0.4118,0.0
2022,00-0029604,K.Cousins,MIN,17,,,25.21,6.041,4547,109,1,4657,29,1,1,0,31,14,4,18,13,14.133,711.0,0.0355,644.0,46.0,12.0,9.0,28.65,11.0,216.0,0.1326,73.1,62.0,2.412,,,0.0,,,0.4796,0.0928,1.3007,0.7647,1.0
2022,00-0035228,K.Murray,ARI,11,,,4.61,5.122,2368,207,216,2791,14,2,1,0,17,7,2,9,4,12.143,479.0,0.0096,393.0,25.0,25.0,36.0,0.61,0.0,2.0,0.304,50.2,50.0,0.585,,,0.0,,,0.4384,0.0814,-0.8063,0.2353,0.0
2022,00-0038102,K.Pickett,PIT,13,,,8.17,4.693,2404,198,46,2648,7,1,2,0,10,9,1,10,9,11.407,467.0,0.0175,390.0,27.0,28.0,22.0,15.93,3.0,112.0,0.1423,47.9,34.5,1.231,,,0.0,,,0.4561,0.0835,0.8181,0.5294,0.0
2022,00-0034796,L.Jackson,BAL,12,,,47.71,6.116,2242,205,571,3018,17,0,3,0,20,7,3,10,10,12.963,451.0,0.1058,326.0,26.0,26.0,73.0,0.0,0.0,0.0,0.0,53.4,58.8,1.613,,,0.0,,,0.4922,0.0976,-0.6174,0.5882,0.5
2022,00-0036972,M.Jones,NE,14,,,-35.57,5.337,2997,115,17,3129,14,1,0,0,15,11,4,15,8,13.481,509.0,-0.0699,444.0,34.0,20.0,11.0,-14.15,7.0,192.0,-0.0737,56.2,45.5,-0.137,,,0.0,,,0.4028,0.0982,-0.441,0.4706,0.0
2022,00-0032268,M.Mariota,ATL,13,,,9.35,5.887,2219,200,247,2666,15,0,4,0,19,9,5,14,7,14.038,401.0,0.0233,298.0,28.0,27.0,48.0,0.0,0.0,0.0,0.0,49.4,55.9,0.414,,,0.0,,,0.4863,0.1247,-0.6461,0.4118,0.0
2022,00-0026143,M.Ryan,IND,12,,,-54.97,4.91,3057,80,-3,3134,14,0,1,0,15,13,8,21,4,9.031,523.0,-0.1051,464.0,38.0,10.0,11.0,-5.31,1.0,38.0,-0.1398,56.3,50.0,0.741,,,0.0,,,0.4359,0.1166,-0.0987,0.2353,0.0
2022,00-0026498,M.Stafford,LA,9,,,-29.21,5.178,2087,15,2,2104,10,1,0,0,11,8,4,12,5,11.808,339.0,-0.0862,303.0,29.0,5.0,2.0,0.0,0.0,0.0,0.0,41.5,32.4,-0.396,,,0.0,,,0.4661,0.1209,-0.0387,0.2941,0.0
