season,passer_id,player_name,team,games,dropbacks,epa_per_db,total_epa,any_a,pass_yards,scramble_yards,rush_yards,total_yards,pass_tds,scramble_tds,rush_tds,rec_tds,total_tds,interceptions,fumbles_lost,turnovers,team_wins,pts_per_drive,total_plays,epa_per_play,pass_att,sacks,scrambles,designed_runs,late_epa,late_tds,late_plays,late_epa_per_play,pct_team_yards,pct_team_tds,wpa_total,close_epa,close_epa_per_play,wins_vs_top10,wins_vs_top10_x,wins_vs_top10_y,success_rate,negative_play_rate,cpoe,win_pct,offensive_allpros_nqb,last_name,vote_pct,won,z_epa_per_play,z_total_epa,z_any_a,z_total_yards,z_total_tds,z_turnovers,z_pts_per_drive,z_team_wins,z_late_epa,z_late_epa_per_play,z_late_tds,z_pct_team_yards,z_pct_team_tds,z_wpa_total,z_success_rate,z_negative_play_rate,z_cpoe,z_win_pct,z_offensive_allpros_nqb,raw_index,mvp_index
2025,00-0039851,D.Maye,NE,17,,,188.71,8.262,4394,429,48,4871,31,3,1,0,35,8,4,12,14,20.417,620.0,0.3044,492.0,47.0,62.0,19.0,63.56,10.0,132.0,0.4815,77.9,64.8,4.335,,,0.0,,,0.55,0.0952,10.7813,0.8235,0.0,maye,,,1.9173721200737148,2.7162159399496617,1.8766235787254826,1.6399620096736511,1.4206515845370429,-0.24048736918935848,1.7696178653775998,1.7704108492560136,2.2272080843362922,1.3822311203425237,1.0608641222870498,1.358566522094352,0.9065525185067395,2.059620818009289,1.8791206563314262,-0.04669724522402111,2.7378717387965796,1.7702742782217133,0.5054654075998557,1.5405237760242536,100.0
2025,00-0036898,D.Mills,HOU,6,,,-14.57,5.385,915,58,5,978,5,1,0,0,6,1,0,1,12,14.963,180.0,-0.0809,161.0,8.0,7.0,4.0,-5.37,0.0,10.0,-0.537,17.6,17.6,-0.203,,,0.0,,,0.4,0.05,-6.6134,0.7059,0.0,mills,,,-0.7068853853057899,-0.6277751414714823,-0.3716466280010367,-1.4119059359453183,-1.2430701364699128,2.0936547435308865,-0.10470162668016063,1.1951871076204856,-0.5694810484159323,-1.332285088189466,-1.109085218754643,-1.5556392152202914,-1.3447248687355315,-0.5915176670908193,-1.1048034121350103,1.7420446904757703,-1.7375680398518738,1.1952749545768102,0.5054654075998557,-0.43142094178065515,38.0
2025,00-0033077,D.Prescott,DAL,17,,,106.21,7.133,4552,176,13,4741,30,1,1,0,32,10,5,15,7,18.115,667.0,0.1592,599.0,31.0,26.0,11.0,18.2,5.0,189.0,0.0963,70.9,65.3,4.63,,,0.0,,,0.4843,0.069,2.1646,0.4118,0.0,prescott,,,0.9284227565099876,1.3590767023599117,0.9943513981922046,1.5380501594474847,1.1450941651225301,-0.8770715817494252,0.9785134519714815,-0.24287224646833386,0.3868219090622328,0.355592295083297,-0.024110548233796502,1.0202673486084066,0.930400795913967,2.2319623457978595,0.5721619143431265,0.9901398944957693,0.5209020905312963,-0.2427122995385464,0.5054654075998557,0.9008852487393232,79.9
2025,00-0030565,G.Smith,LV,15,,,-73.25,4.443,3025,109,6,3140,19,0,0,0,19,17,1,18,3,8.31,538.0,-0.1362,448.0,55.0,18.0,17.0,-6.79,4.0,83.0,-0.0818,69.8,73.1,-2.02,,,0.0,,,0.4238,0.1413,0.7071,0.1765,0.0,smith,,,-1.0835307007677328,-1.5930712682807735,-1.1077851524140994,0.2829665270467731,-0.04898798567369129,-1.5136557943094922,-2.391068986537196,-1.3933197297393896,-0.6270945486119016,-0.11908157505862473,-0.24110548233796578,0.9671060499177576,1.302433923466715,-1.6530246365546573,-0.6313541266050027,-1.8710557238912862,0.14590548366942904,-1.3931998918314517,0.5054654075998557,-0.774347546419121,27.2
2025,00-0034857,J.Allen,BUF,16,,,109.33,6.759,3668,426,173,4267,25,3,11,0,39,10,5,15,12,20.913,600.0,0.1822,466.0,40.0,48.0,46.0,23.22,9.0,149.0,0.1558,67.9,66.1,2.147,,,0.0,,,0.4983,0.0933,3.5149,0.7059,0.0,allen,,,1.0850745152012116,1.4104012407996696,0.7020840859517746,1.166463874776693,1.7880614770897263,-0.8770715817494252,1.9400730300385176,1.1951871076204856,0.5904978041212225,0.5141722797741692,0.8438691881828806,0.8752819885430015,0.9685580397655307,0.7813724695299948,0.8506614940666608,0.02849323437397946,0.8683174718318653,1.1952749545768102,0.5054654075998557,0.8585180919725672,78.5
2025,00-0033119,J.Brissett,ARI,14,,,1.12,5.996,3366,149,20,3535,23,0,1,0,24,8,5,13,3,14.2,566.0,0.002,487.0,43.0,22.0,14.0,-9.32,10.0,212.0,-0.044,62.6,60.0,-0.783,,,0.0,,,0.4576,0.1025,1.6353,0.1765,0.5,brissett,,,-0.14225795941437824,-0.36967193374077706,0.10582751044522833,0.5926217642724327,0.4102743800171631,-0.45268210670938075,-0.36691390618879105,-1.3933197297393896,-0.7297439538906354,-0.01833664360795295,1.0608641222870498,0.6191411857607856,0.677609055397356,-0.9303586369802119,0.04102343015610083,-0.335586982626863,0.38471978932238626,-1.3931998918314517,-0.832531259576233,-0.15012913786018597,46.8
2025,00-0035100,J.Browning,CIN,5,,,-46.1,3.515,771,31,9,811,6,0,1,0,7,8,2,10,6,17.25,142.0,-0.3247,125.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,14.0,12.5,-0.32,,,0.0,,,0.4085,0.1338,0.3757,0.3529,1.0,browning,,,-2.367394027432764,-1.1464490828194194,-1.832983189203188,-1.5428234666204705,-1.151217663331742,0.18390210585068606,0.6812478926333886,-0.5304841172860978,-0.35160464274526,0.09893258876849038,-1.109085218754643,-1.7296216472987775,-1.5879772982892515,-0.6598700696374726,-0.9357143815885799,-1.5742511991623382,0.0606403889771321,-0.5307009063640973,-2.170527926752322,-1.11197123501651,16.6
2025,00-0036442,J.Burrow,CIN,8,,,31.13,6.514,1809,26,16,1851,17,0,0,0,17,5,1,6,6,17.25,291.0,0.107,261.0,17.0,8.0,5.0,25.2,13.0,198.0,0.1273,32.0,30.4,0.294,,,0.0,,,0.4914,0.079,4.6543,0.3529,1.0,burrow,,,0.5728913737412096,0.12399774529035498,0.5106255525322413,-0.727528664811139,-0.23269293195003304,1.032681055930775,0.6812478926333886,-0.5304841172860978,0.6708321212958839,0.43821379971215485,1.7118489245995576,-0.8597094869063469,-0.734208967110509,-0.30116600840973645,0.7134009869172044,0.594400528190506,1.16147090844141,-0.5307009063640973,-2.170527926752322,0.130327285180718,55.6
2025,00-0039910,J.Daniels,WAS,7,,,-1.84,5.922,1262,246,37,1545,8,0,2,0,10,3,2,5,5,15.478,258.0,-0.0071,186.0,18.0,38.0,16.0,-11.92,0.0,25.0,-0.4767,29.9,25.0,0.19,,,0.0,,,0.4574,0.1008,-2.7291,0.2941,0.0,daniels,,,-0.20423756828786255,-0.4183644445682396,0.04799921871851159,-0.9674134814973462,-0.8756602439172292,1.2448757934507975,0.07228307049801083,-0.8180959881038616,-0.8352334612917058,-1.1715729356372038,-1.109085218754643,-0.9611992389521306,-0.9917703631085654,-0.36192369956231724,0.03704486473147825,-0.2683112903549684,-0.7381860020930052,-0.8182005681865488,0.5054654075998557,-0.4229088952019294,38.2
2025,00-0040691,J.Dart,NYG,14,,,33.59,5.853,2272,290,202,2764,15,2,7,0,24,5,4,9,4,15.24,454.0,0.074,340.0,35.0,38.0,41.0,9.25,6.0,145.0,0.0638,50.1,54.5,0.149,,,0.0,,,0.4604,0.1035,-0.1931,0.2353,0.0,dart,,,0.34813015474945336,0.16446516982939488,-0.0059217559996426325,-0.011793901299677575,0.4102743800171631,0.39609684337070833,-0.00950791577073612,-1.1057078589216256,0.02369456627777895,0.2689729757143332,0.19288438587037277,0.015035518821597515,0.4152780039178542,-0.3858762508820846,0.09672334610080703,-0.37516091925738937,-0.08570477053095027,-1.1057002300090002,0.5054654075998557,0.052128217407747535,53.2
