season,player_id,player_name,team,rush_attempts,receptions,total_touches,rush_yards,rec_yards,total_yards,rush_tds,rec_tds,total_tds,rush_epa,rec_epa,total_epa,epa_per_touch,late_epa,late_tds,fumbles_lost,scrimmage_yards,yards_per_touch,pct_team_yards,pct_team_tds,position,targets,catch_rate,target_share
1999,00-0008241,E.James,IND,360.0,61.0,421.0,1476.0,579.0,,13.0,4.0,17.0,-25.658000946044922,29.51300048828125,3.8550000190734863,0.009,5.311999797821045,6.0,3.0,2055.0,4.881,36.7,42.5,RB,85.0,0.718,15.9
1999,00-0009163,E.Kennison,NO,3.0,60.0,63.0,20.0,830.0,,0.0,4.0,4.0,0.06800000369548798,68.9020004272461,68.97000122070312,1.095,18.898000717163086,2.0,0.0,850.0,13.492,17.1,17.4,WR,126.0,0.476,23.6
1999,00-0010650,E.McCaffrey,,0.0,70.0,70.0,0.0,1001.0,,0.0,7.0,7.0,0.0,78.97899627685547,78.97899627685547,1.128,16.18600082397461,0.0,0.0,1001.0,14.3,100100.0,700.0,WR,122.0,0.574,12200.0
1999,00-0011770,E.Moulds,BUF,1.0,65.0,66.0,1.0,994.0,,0.0,7.0,7.0,-0.5799999833106995,85.61399841308594,85.03399658203125,1.288,23.420000076293945,1.0,0.0,995.0,15.076,20.2,22.6,WR,113.0,0.575,22.6
1999,00-0013622,E.Rhett,BAL,231.0,24.0,255.0,803.0,169.0,,5.0,2.0,7.0,-41.94599914550781,8.151000022888184,-33.79499816894531,-0.133,-12.800999641418457,1.0,0.0,972.0,3.812,21.2,26.9,RB,32.0,0.75,6.6
1999,00-0015165,E.Smith,DAL,326.0,27.0,353.0,1392.0,119.0,,11.0,2.0,13.0,-7.5980000495910645,-4.052999973297119,-11.651000022888184,-0.033,2.496999979019165,2.0,2.0,1511.0,4.28,28.8,36.1,RB,32.0,0.844,6.5
1999,00-0000942,F.Beasley,SF,57.0,32.0,89.0,258.0,282.0,,4.0,0.0,4.0,-2.559000015258789,18.0,15.440999984741211,0.173,14.630000114440918,3.0,2.0,540.0,6.067,10.4,14.8,RB,51.0,0.627,9.4
1999,00-0008749,F.Jones,,0.0,54.0,54.0,0.0,630.0,,0.0,2.0,2.0,0.0,48.176998138427734,48.176998138427734,0.892,6.232999801635742,0.0,0.0,630.0,11.667,63000.0,200.0,WR,89.0,0.607,8900.0
1999,00-0009599,F.Lane,CAR,109.0,22.0,131.0,429.0,160.0,,1.0,0.0,1.0,-21.31999969482422,6.276000022888184,-15.043999671936035,-0.115,-4.683000087738037,1.0,1.0,589.0,4.496,10.2,2.1,RB,29.0,0.759,5.2
1999,00-0014328,F.Sanders,,0.0,79.0,79.0,0.0,954.0,,0.0,1.0,1.0,0.0,76.33899688720703,76.33899688720703,0.966,23.908000946044922,1.0,0.0,954.0,12.076,95400.0,100.0,WR,153.0,0.516,15300.0
1999,00-0016098,F.Taylor,JAX,156.0,10.0,166.0,706.0,83.0,,6.0,0.0,6.0,-8.61400032043457,2.3369998931884766,-6.2769999504089355,-0.038,-4.861000061035156,5.0,0.0,789.0,4.753,14.3,17.1,RB,15.0,0.667,2.8
1999,00-0018343,F.Wycheck,TEN,1.0,68.0,69.0,0.0,637.0,,0.0,2.0,2.0,-0.9470000267028809,38.4109992980957,37.4640007019043,0.543,19.485000610351562,2.0,0.0,637.0,9.232,12.6,4.9,TE,107.0,0.636,20.9
1999,00-0001938,G.Brown,NYG,52.0,2.0,54.0,168.0,2.0,,0.0,0.0,0.0,-9.895000457763672,-0.9919999837875366,-10.88700008392334,-0.202,0.0,0.0,0.0,170.0,3.148,3.2,0.0,RB,2.0,1.0,0.3
1999,00-0003700,G.Crowell,DET,5.0,81.0,86.0,38.0,1333.0,,0.0,7.0,7.0,2.513000011444092,107.46199798583984,109.9749984741211,1.279,30.12700080871582,0.0,0.0,1371.0,15.942,26.9,24.1,WR,149.0,0.544,27.5
1999,00-0007436,G.Hill,DET,143.0,13.0,156.0,501.0,77.0,,2.0,0.0,2.0,-30.583999633789062,-2.5799999237060547,-33.16400146484375,-0.213,-8.37399959564209,1.0,1.0,578.0,3.705,11.3,6.9,RB,23.0,0.565,4.2
1999,00-0017162,H.Ward,PIT,2.0,60.0,62.0,-2.0,596.0,,0.0,7.0,7.0,-1.3079999685287476,51.801998138427734,50.49399948120117,0.814,17.183000564575195,3.0,0.0,594.0,9.581,12.4,21.9,TE,101.0,0.594,19.3
1999,00-0002099,I.Bruce,LA,4.0,68.0,72.0,28.0,1026.0,,0.0,11.0,11.0,3.243000030517578,94.08599853515625,97.3290023803711,1.352,18.94499969482422,1.0,0.0,1054.0,14.639,17.5,21.2,WR,108.0,0.63,22.8
1999,00-0007468,I.Hilliard,NYG,3.0,72.0,75.0,16.0,996.0,,0.0,3.0,3.0,-0.6489999890327454,76.19000244140625,75.54100036621094,1.007,13.928000450134277,1.0,0.0,1012.0,13.493,19.3,11.1,WR,121.0,0.595,20.6
1999,00-0001215,J.Bettis,PIT,290.0,21.0,311.0,1063.0,110.0,,7.0,0.0,7.0,-16.926000595092773,0.5320000052452087,-16.393999099731445,-0.053,-4.984000205993652,2.0,1.0,1173.0,3.772,24.6,21.9,RB,28.0,0.75,5.4
1999,00-0005110,J.Fazande,LAC,88.0,0.0,88.0,356.0,0.0,,2.0,0.0,2.0,-10.906000137329102,0.0,-10.906000137329102,-0.124,-5.078000068664551,1.0,2.0,356.0,4.045,7.7,9.1,RB,0.0,0.0,0.0
1999,00-0006210,J.Graham,,0.0,54.0,54.0,0.0,882.0,,0.0,2.0,2.0,0.0,78.9990005493164,78.9990005493164,1.463,30.450000762939453,1.0,0.0,882.0,16.333,88200.0,200.0,WR,111.0,0.486,11100.0
1999,00-0006331,J.Green,TB,3.0,56.0,59.0,8.0,791.0,,0.0,3.0,3.0,0.07900000363588333,62.472999572753906,62.551998138427734,1.06,15.406999588012695,0.0,0.0,799.0,13.542,18.6,12.0,WR,100.0,0.56,23.0
1999,00-0008529,J.Johnson,MIA,161.0,15.0,176.0,548.0,100.0,,4.0,0.0,4.0,-24.195999145507812,2.3550000190734863,-21.840999603271484,-0.124,2.003000020980835,1.0,1.0,648.0,3.682,13.0,14.3,RB,23.0,0.652,4.1
1999,00-0009960,J.Linton,BUF,200.0,28.0,228.0,669.0,223.0,,5.0,0.0,5.0,-37.702999114990234,7.808000087738037,-29.895000457763672,-0.131,-11.234000205993652,4.0,3.0,892.0,3.912,18.1,16.1,RB,38.0,0.737,7.6
1999,00-0011506,J.Montgomery,NYG,116.0,0.0,116.0,348.0,0.0,,3.0,0.0,3.0,-22.511999130249023,0.0,-22.511999130249023,-0.194,-5.064000129699707,1.0,2.0,348.0,3.0,6.6,11.1,RB,1.0,0.0,0.2
1999,00-0011727,J.Morton,,0.0,79.0,79.0,0.0,1084.0,,0.0,5.0,5.0,0.0,85.56900024414062,85.56900024414062,1.083,28.077999114990234,2.0,0.0,1084.0,13.722,108400.0,500.0,WR,131.0,0.603,13100.0
1999,00-0013639,J.Rice,SF,2.0,67.0,69.0,13.0,830.0,,0.0,5.0,5.0,0.026000000536441803,73.86599731445312,73.89199829101562,1.071,21.288999557495117,1.0,0.0,843.0,12.217,16.2,18.5,WR,124.0,0.54,22.8
1999,00-0013773,J.Ritchie,LV,5.0,45.0,50.0,12.0,408.0,,0.0,1.0,1.0,-0.5350000262260437,29.038999557495117,28.5049991607666,0.57,3.9679999351501465,0.0,0.0,420.0,8.4,7.5,2.4,TE,62.0,0.726,12.3
1999,00-0015218,J.Smith,,0.0,116.0,116.0,0.0,1636.0,,0.0,6.0,6.0,0.0,138.7570037841797,138.7570037841797,1.196,35.04499816894531,0.0,0.0,1636.0,14.103,163600.0,600.0,WR,177.0,0.655,17700.0
